,Song Title,Artist,Year,Position
32,Tea For Two Cha Cha,Tommy Dorsey Orch. and Warren Covington,1958,33
33,Tears On My Pillow,Little Anthony and The Imperials,1958,34
34,Short Shorts,Royal Teens,1958,35
35,Great Balls Of Fire,Jerry Lee Lewis,1958,36
36,Lollipop,Chordettes,1958,37
37,Splish Splash,Bobby Darin,1958,38
38,Who's Sorry Now,Connie Francis,1958,39
39,My True Love / Leroy,Jack Scott,1958,40
40,Endles Sleep,Jody Reynolds,1958,41
41,Do You Want To Dance?,Bobby Freeman,1958,42
42,When,Kalin Twins,1958,43
43,To Know Him Is To Love Him,Teddy Bears,1958,44
44,April Love,Pat Boone,1958,45
45,Rebel-'Rouser,Duane Eddy,1958,46
46,Oh Julie,Crescendos,1958,47
47,The Stroll,Diamonds,1958,48
48,Hard-Headed Woman / Don't Ask Me Why,Elvis Presley,1958,49
49,Peggy Sue,Buddy Holly,1958,50
50,Oh Lonesome Me,Don Gibson,1958,51
51,Chantilly Lace,Big Bopper,1958,52
52,Lonesome Town,Rick Nelson,1958,53
53,All the Way,Frank Sinatra,1958,54
54,One Night,Elvis Presley,1958,55
55,Susie Darlin',Robin Luke,1958,56
56,26 Miles,Four Preps,1958,57
57,The End,Earl Grant,1958,58
58,Kisses Sweeter Than Wine,Jimmie Rodgers,1958,59
59,Beep Beep (The Little Nash Rambler),Playmates,1958,60
60,March From the River Kwai and Colonel Bogey March,Mitch Miller,1958,61
61,Problems,Everly Brothers,1958,62
62,Queen of the Hop,Bobby Darin,1958,63
63,Liechtensteiner Polka,Will Glahe,1958,64
64,I Got Stung,Elvis Presley,1958,65
65,Are You Sincere,Andy Williams,1958,66
66,I Got a Feeling,Ricky Nelson,1958,67
67,Born Too Late,Poni Tails,1958,68
68,Willie and the Hand Jive,Johnny Otis Show,1958,69
69,Big Man,Four Preps,1958,70
70,Oh Boy,Crickets,1958,71
71,What Am I Living For,Chuck Willis,1958,72
72,Johnny B Goode,Chuck Berry,1958,73
73,Summertime Blues,Eddie Cochran,1958,74
74,Near You,Roger Williams,1958,75
75,Fever,Peggy Lee,1958,76
76,For Your Love,Ed Townsend,1958,77
77,You Are My Destiny,Paul Anka,1958,78
78,Chanson D'Amour,Art and Dotty Todd,1958,79
79,Lazy Mary,Lou Monte,1958,80
